rms_mean,rms_var,rms_skew,rms_kurtosis,centroid_mean,centroid_var,centroid_skew,centroid_kurtosis,bandwidth_mean,bandwidth_var,rolloff_mean,rolloff_var,zcr_mean,zcr_var,tempo,num_beats,dynamic_range,rms_variability,flatness_mean,flatness_var,flatness_skew,flatness_kurtosis,onset_mean,onset_var,onset_skew,onset_kurtosis,tonnetz_mean,tonnetz_var,chroma_1_mean,chroma_1_var,chroma_2_mean,chroma_2_var,chroma_3_mean,chroma_3_var,chroma_4_mean,chroma_4_var,chroma_5_mean,chroma_5_var,chroma_6_mean,chroma_6_var,chroma_7_mean,chroma_7_var,chroma_8_mean,chroma_8_var,chroma_9_mean,chroma_9_var,chroma_10_mean,chroma_10_var,chroma_11_mean,chroma_11_var,chroma_12_mean,chroma_12_var,mfcc_1_mean,mfcc_1_var,mfcc_delta_1_mean,mfcc_delta_1_var,mfcc_2_mean,mfcc_2_var,mfcc_delta_2_mean,mfcc_delta_2_var,mfcc_3_mean,mfcc_3_var,mfcc_delta_3_mean,mfcc_delta_3_var,mfcc_4_mean,mfcc_4_var,mfcc_delta_4_mean,mfcc_delta_4_var,mfcc_5_mean,mfcc_5_var,mfcc_delta_5_mean,mfcc_delta_5_var,mfcc_6_mean,mfcc_6_var,mfcc_delta_6_mean,mfcc_delta_6_var,mfcc_7_mean,mfcc_7_var,mfcc_delta_7_mean,mfcc_delta_7_var,mfcc_8_mean,mfcc_8_var,mfcc_delta_8_mean,mfcc_delta_8_var,mfcc_9_mean,mfcc_9_var,mfcc_delta_9_mean,mfcc_delta_9_var,mfcc_10_mean,mfcc_10_var,mfcc_delta_10_mean,mfcc_delta_10_var,mfcc_11_mean,mfcc_11_var,mfcc_delta_11_mean,mfcc_delta_11_var,mfcc_12_mean,mfcc_12_var,mfcc_delta_12_mean,mfcc_delta_12_var,mfcc_13_mean,mfcc_13_var,mfcc_delta_13_mean,mfcc_delta_13_var,label,filename
0.14291878,0.009172822,1.2638317,2.7103767,1412.302453037304,205264.42118197042,0.6510655213961501,0.4691321861127524,1513.961834643819,145396.04295443324,2770.2582486273704,1430896.9091692052,0.06297921101006192,0.00044058084380507967,161.4990234375,78,0.5161511898040771,0.6701348423957825,0.0012515704,3.7889874e-06,3.4153872,17.755184,1.8866923,10.0620575,3.1459305,12.304652,0.027460165267796745,0.028087015883553834,0.45945343,0.14087644,0.16898257,0.035399318,0.19061625,0.035997402,0.37619054,0.12962173,0.3531182,0.07639058,0.45865342,0.1750639,0.27529332,0.06325436,0.32233915,0.09363354,0.187359,0.051348325,0.2021508,0.054659072,0.32206672,0.092956744,0.31484967,0.06938187,-173.60945,8101.303,-0.12797107,241.75893,137.05408,1077.991,0.008204921,16.907858,-23.713308,1024.7397,0.07051569,19.228588,26.950659,495.17603,0.03652765,14.419538,-16.62894,290.82095,0.0022431999,6.354466,4.1748066,159.2316,-0.0019010892,3.7491095,-12.507778,150.40279,0.010053446,4.774028,5.8183236,82.27129,-0.0037830658,2.1925666,-2.8622563,108.59299,0.009753905,2.5156128,-1.2245277,65.77748,0.0063607716,1.5163925,-1.9673077,55.098743,0.005794412,1.6751038,1.7889287,58.210636,0.007574238,1.2205695,-3.0044177,93.329605,-0.0031828703,1.7763876,0,blues_blues.00010.wav
0.11340854,0.0036893194,1.0299311,1.6403403,1156.2148592995113,314318.4248018906,1.12531143080723,1.0533242411080668,1498.2398713861862,59158.977340290905,2171.336870223007,1336274.6907995504,0.05859979682662539,0.0028637329863796268,95.703125,43,0.4070255160331726,0.5355836749076843,0.0004229545,2.0774465e-07,3.4100256,20.135649,1.528949,3.2526183,2.245445,5.5363407,-0.019050671536307295,0.015408137560433473,0.39053681,0.13356091,0.2327983,0.052729957,0.21146384,0.07570734,0.25623757,0.08489229,0.32967097,0.09903542,0.49686605,0.166427,0.35652596,0.09632099,0.32027805,0.092314936,0.28221893,0.067970924,0.31839755,0.10169759,0.25060037,0.08042844,0.23826249,0.05544815,-233.9862,6505.12,-0.111671835,161.72148,136.2152,959.233,-0.032221336,27.302462,3.2345688,1162.5356,0.057546042,26.000738,49.020485,383.81348,0.011144254,6.1376553,8.63149,304.57407,0.015947942,3.7710679,14.028976,165.5572,0.027172027,4.358276,5.2975593,105.6663,-0.0097186295,2.6334493,0.45631015,127.39239,-0.0046990397,2.766288,-13.522972,150.98271,0.016987577,3.5807354,16.892965,82.81254,0.01138733,1.9775107,5.082646,114.269905,0.011320517,2.3540287,-2.222806,77.4695,0.019466478,1.5730308,3.9231558,65.911,-0.0037226614,1.3615131,0,blues_blues.00022.wav
0.09575243,0.002192281,0.68786293,0.31093287,1391.693584260323,200465.9524918753,0.5848919909469421,-0.519092433555719,1494.9740171327014,43595.784811743455,2809.4663448747096,542581.736756209,0.07238542775251548,0.0025430277815057436,92.28515625,43,0.25828057527542114,0.48898810148239136,0.00045074942,2.0187248e-07,3.2848098,16.069462,1.324689,1.4773694,2.1714919,6.0958853,0.0025968790376208577,0.04143095920822733,0.3876945,0.08600177,0.23892732,0.05958752,0.28074297,0.107002705,0.24588442,0.062215243,0.414179,0.13691762,0.2960546,0.07245394,0.20123957,0.07944582,0.12542136,0.04485312,0.16400953,0.04529161,0.21532585,0.05127283,0.33334053,0.06937854,0.56278974,0.15429066,-228.29935,2818.6362,0.05933022,70.68616,130.33119,689.4435,-0.03055031,11.3935795,-23.299711,929.5799,-0.025531467,16.070051,70.20772,397.35117,0.02613036,6.2915487,1.1276861,182.34268,-0.011060406,3.4060729,7.6123276,153.70395,-0.0020743746,2.988045,0.8912379,100.19354,-0.009679768,2.7921355,1.9923636,88.51912,0.003997626,2.0343707,-6.1792507,62.032917,-7.326315e-05,1.6160827,-9.388156,86.15454,0.010041835,1.7800328,-2.5676565,108.03326,0.010005082,1.810271,-4.5064816,58.99766,0.0015148319,1.5698551,-0.25170156,67.88992,0.0008384975,1.7717861,0,blues_blues.00027.wav
0.09956683,0.004086796,1.502175,3.031433,1115.7555613212453,106163.99215377426,0.5119799290753342,-0.3104194457041167,1399.2891995920068,53128.054270286564,2290.3444839335816,638011.5420257663,0.04800689035893963,0.0008147169296571622,103.359375,51,0.37129297852516174,0.642061710357666,0.00038225856,3.269471e-07,9.74366,181.75507,1.514981,2.5524297,2.5284088,7.6218348,-0.024123627424165274,0.01729935363727608,0.22249523,0.06690618,0.26061428,0.101568535,0.18597846,0.053975593,0.20486124,0.067124054,0.31433913,0.116128735,0.18293259,0.050541468,0.10401129,0.031347156,0.15733023,0.055203613,0.3247407,0.080308005,0.5928835,0.14133526,0.49125832,0.12317577,0.3015016,0.08805201,-249.17885,4973.3335,-0.13521563,121.07575,139.33025,398.52304,0.03478891,13.205285,-16.496637,1161.3691,0.026119776,20.013088,57.349003,330.18707,0.06253947,8.084911,19.978556,157.9384,0.00050193164,4.8095484,10.386943,133.45372,-0.007052618,3.4938822,4.3613653,125.44512,0.03276483,2.7672436,0.44550732,118.68132,-0.009493787,3.1892083,-8.005107,69.76399,-0.001178954,2.1946113,-3.3643649,68.51788,-0.023855153,2.455848,-2.6922483,79.42902,-0.01959015,2.599347,-2.7926075,67.0134,0.00015552051,1.9644523,-0.903065,95.24532,0.0017425829,2.210567,0,blues_blues.00028.wav
0.17004973,0.00319093,0.5543229,0.26231527,1379.1072219334053,552351.6328061591,2.335833239398537,7.58968831585862,2003.609479441849,269452.4255096845,3010.4901293113876,4562595.472371392,0.03937504535119969,0.0009455226233848578,151.99908088235293,76,0.3154698610305786,0.33218705654144287,0.00069842266,3.0933404e-06,6.367171,51.22278,1.3681782,1.4236999,2.0410109,6.211567,0.03850590105799392,0.03321667191446097,0.24589331,0.11192748,0.16453834,0.047899567,0.19854529,0.077867515,0.27098384,0.09047188,0.2907362,0.06498481,0.46667802,0.15280236,0.3763943,0.07541516,0.38836363,0.15166986,0.22434454,0.05487761,0.16268127,0.05045355,0.20611778,0.09645055,0.1660923,0.051522564,-207.09317,2032.1985,0.09861631,51.29799,117.95044,765.90546,-0.008942444,21.427147,23.08404,281.36234,-0.011464727,6.967944,28.468266,261.30887,-0.01506925,5.842976,-1.2795476,196.26582,-0.020749312,5.9411273,19.012758,161.11116,0.0064312695,4.630368,-22.108223,211.31688,-0.02602183,5.476679,17.98023,137.70499,-0.010611496,3.828561,-25.711046,201.0482,-0.025638444,4.162127,2.2386467,103.37423,0.010923396,2.8435047,-17.898994,73.04749,0.008882357,2.362804,-7.924602,60.30819,-0.006954732,2.0087836,-17.706299,73.099495,-0.009622035,1.965097,0,blues_blues.00030.wav
0.06917734,0.002228343,0.9828397,0.21535015,1188.094825573016,369869.56697619683,0.7562599791184366,0.06694639087553078,1682.402650006591,200057.5650339059,2343.4274962812015,3005293.028795755,0.0481693988244969,0.001276902290484014,123.046875,57,0.22491905093193054,0.6823813915252686,0.0004304016,1.0050337e-06,5.9827623,47.006134,1.4970423,5.5148115,3.376238,14.592859,0.008789468906956983,0.043125625017374936,0.31939173,0.14324927,0.1257419,0.027110362,0.08732938,0.02516314,0.19861728,0.084710576,0.3406945,0.072963506,0.62292695,0.14750627,0.35016748,0.05808421,0.19755751,0.07049636,0.2040348,0.102890454,0.17725801,0.071111694,0.16787976,0.0845572,0.1811896,0.05688299,-329.36978,7564.8467,0.1891094,189.48837,103.40982,637.12286,0.052637585,20.442738,19.556042,703.48444,-0.0037526346,11.272283,26.861229,171.3901,0.022781326,5.515798,6.9442725,254.87836,0.00030173015,6.791429,22.870872,250.4595,0.022687832,4.736047,-7.1979656,210.81741,0.0017142495,4.0093584,13.013003,155.29443,0.03687129,3.756105,-10.87804,160.42917,0.005256195,2.7183855,-0.29159775,83.82736,-0.0005931264,2.497006,-12.483495,111.72679,-0.019958159,2.5804183,-8.835547,111.5552,-0.02951795,3.2924933,-9.28229,127.24211,-0.0045465226,3.3605006,0,blues_blues.00037.wav
0.13479874,0.0007871825,0.25499773,-0.7094197,2272.5062392470873,200955.44169243876,0.5306361917232835,1.079404817840004,2357.0110884957257,50280.453632314595,5108.13577846846,582448.6960035436,0.09764529012674149,0.0013738369331033622,172.265625,84,0.14985260367393494,0.20813824236392975,0.00574757,2.097092e-05,4.284669,45.66306,1.4286003,1.9775662,1.6053168,2.224197,-0.011882777944394496,0.010618567653268482,0.37746754,0.07753602,0.45032835,0.10307304,0.35548508,0.05130064,0.43777496,0.10345818,0.28906357,0.041414868,0.28429186,0.053361237,0.3270424,0.055257306,0.49232176,0.070293225,0.6702067,0.1018067,0.45444492,0.06355173,0.33535874,0.06563496,0.29700747,0.041213848,-110.2538,1285.2275,-0.041781206,31.6858,90.68854,229.82005,0.0064807693,8.7784605,-2.5091352,227.83635,-0.006570208,5.3999505,74.0444,114.24959,0.0231268,3.2125406,-11.733205,113.16268,0.0010302252,3.1072848,39.194824,66.349754,-0.015973223,1.8077732,-13.147485,86.2699,-0.004888677,2.623206,20.524069,50.2902,0.00020303187,1.5594275,-17.142721,46.92927,-0.012770449,1.5452636,12.801683,93.67931,-0.026139557,2.5576234,-21.416517,41.21944,-0.012935605,1.380346,5.9323072,49.114933,-0.0018649552,1.366315,-8.012671,46.981277,0.010773769,1.678915,0,blues_blues.00040.wav
0.12724563,0.0013221254,0.8091476,0.31230736,2155.629301697958,187713.9421909501,0.12980098663295545,-0.24409341850007493,2372.311741997787,60290.039131348996,5012.278024773848,938940.2226656397,0.08717558775154799,0.001222132780645857,129.19921875,64,0.19353225827217102,0.2857547402381897,0.0064641573,2.0555679e-05,1.2513771,1.8061881,1.3096583,1.6503264,1.9475619,4.042601,-0.010451034408041243,0.016996018476401666,0.44258368,0.090012014,0.31333154,0.06301622,0.32288438,0.07091302,0.36705062,0.08656949,0.408305,0.093762934,0.3664401,0.06516716,0.46309584,0.09953799,0.378132,0.058268752,0.42015117,0.10149131,0.3837143,0.07212892,0.3913889,0.06784545,0.5175197,0.11335556,-109.249664,2209.4822,0.09788039,76.25497,100.74052,230.92493,-0.03153154,6.077771,-8.748361,383.62772,-0.06337924,9.274305,47.456806,82.97437,-0.009559375,2.5737174,-6.680847,89.57408,-0.007670651,2.8518176,39.727898,92.487495,0.0020097366,1.9859179,-8.619103,91.12084,0.016173955,2.646657,29.66847,40.94056,-0.0043072314,1.277083,-16.691315,58.619614,-0.024119958,1.4537369,13.276686,113.36039,0.021759715,2.8013685,-24.30464,41.081997,0.0014775652,1.2325562,6.6764812,62.8465,-0.024974657,1.7291745,-8.739553,43.380493,-0.02052743,1.3620601,0,blues_blues.00043.wav
0.13617772,0.00046952858,0.17663118,-0.2463057,2279.2341213297263,170485.8312287639,0.7661761575010665,1.0867248135338734,2375.1601633862924,53083.246723601784,5200.860217776461,568571.1990430353,0.09254668150154799,0.0008975524581676484,135.99917763157896,66,0.14272135496139526,0.15912006795406342,0.00540269,1.43984835e-05,1.6350627,3.62505,1.325814,1.4392462,1.8440852,3.7305236,-0.009067454555673418,0.010070700499303652,0.31651905,0.056192916,0.43485427,0.0985957,0.4323004,0.07231158,0.4639706,0.115879014,0.31526497,0.05416186,0.2603234,0.038644798,0.326745,0.08139993,0.34853795,0.06467206,0.47871894,0.122216545,0.4681696,0.08503056,0.49910522,0.1194332,0.32848445,0.052986793,-109.441864,825.9812,-0.018245017,18.38326,86.76264,227.63545,0.0039479444,6.4001193,-8.472413,279.1182,-0.020421663,3.5097218,64.3508,82.3323,-0.0058023827,1.8897989,-6.148015,54.96482,0.007942266,1.8149692,43.4994,39.019146,-0.0039072293,0.9284206,-8.14839,51.904408,-0.003711668,1.3717077,28.402561,54.931816,-0.00035889674,1.2871634,-13.926309,77.887634,0.00016818992,1.3663081,7.9869766,86.03176,0.018650938,1.457925,-21.36677,69.16081,0.0036360712,1.2322978,10.938425,95.131805,0.0006544284,1.746131,-4.9783945,91.70338,-0.0019502337,1.7278659,0,blues_blues.00044.wav
0.19663092,0.001708447,0.051852454,-0.64470243,1977.3032506329293,137114.4077580502,1.205763865415207,3.3789717726447845,1927.676760588658,73878.43851686432,3943.1428230214783,694897.4366306865,0.10664372399864551,0.0009417433613145049,99.38401442307692,50,0.2176952213048935,0.21020784974098206,0.00460632,2.2772645e-05,3.3226502,15.951439,1.307627,1.29199,2.2610624,5.8777733,0.020387232002612686,0.009850878742349497,0.27539068,0.048045043,0.2980606,0.06286463,0.36290357,0.07288292,0.48049304,0.08632755,0.55073524,0.10498122,0.41722003,0.07583855,0.3549612,0.068067305,0.39081207,0.08181335,0.44122353,0.10327796,0.38870233,0.097712725,0.3827345,0.08265417,0.38877836,0.08384825,-55.44646,1012.7811,0.09565264,46.559967,114.71398,317.28735,-0.037156623,8.513926,-36.83465,205.2219,0.018919947,7.1315145,64.682106,68.957,-0.002713165,2.1721368,-6.9295297,93.96139,-0.013173966,2.1456776,15.023066,115.68645,0.024128089,4.389115,-16.0294,97.747604,-0.023652783,2.0071127,18.419168,78.67734,0.020959789,3.1343257,-9.529504,68.88895,-0.0036813808,1.4354143,21.266571,73.86537,0.0029915494,1.378829,-5.4637218,71.97104,0.0031389194,1.4601151,12.581564,99.671364,0.012824069,1.6720939,-16.35763,56.113064,0.0040779742,1.5536835,0,blues_blues.00051.wav
