rms_mean,rms_var,rms_skew,rms_kurtosis,centroid_mean,centroid_var,centroid_skew,centroid_kurtosis,bandwidth_mean,bandwidth_var,rolloff_mean,rolloff_var,zcr_mean,zcr_var,tempo,num_beats,dynamic_range,rms_variability,flatness_mean,flatness_var,flatness_skew,flatness_kurtosis,onset_mean,onset_var,onset_skew,onset_kurtosis,tonnetz_mean,tonnetz_var,chroma_1_mean,chroma_1_var,chroma_2_mean,chroma_2_var,chroma_3_mean,chroma_3_var,chroma_4_mean,chroma_4_var,chroma_5_mean,chroma_5_var,chroma_6_mean,chroma_6_var,chroma_7_mean,chroma_7_var,chroma_8_mean,chroma_8_var,chroma_9_mean,chroma_9_var,chroma_10_mean,chroma_10_var,chroma_11_mean,chroma_11_var,chroma_12_mean,chroma_12_var,mfcc_1_mean,mfcc_1_var,mfcc_delta_1_mean,mfcc_delta_1_var,mfcc_2_mean,mfcc_2_var,mfcc_delta_2_mean,mfcc_delta_2_var,mfcc_3_mean,mfcc_3_var,mfcc_delta_3_mean,mfcc_delta_3_var,mfcc_4_mean,mfcc_4_var,mfcc_delta_4_mean,mfcc_delta_4_var,mfcc_5_mean,mfcc_5_var,mfcc_delta_5_mean,mfcc_delta_5_var,mfcc_6_mean,mfcc_6_var,mfcc_delta_6_mean,mfcc_delta_6_var,mfcc_7_mean,mfcc_7_var,mfcc_delta_7_mean,mfcc_delta_7_var,mfcc_8_mean,mfcc_8_var,mfcc_delta_8_mean,mfcc_delta_8_var,mfcc_9_mean,mfcc_9_var,mfcc_delta_9_mean,mfcc_delta_9_var,mfcc_10_mean,mfcc_10_var,mfcc_delta_10_mean,mfcc_delta_10_var,mfcc_11_mean,mfcc_11_var,mfcc_delta_11_mean,mfcc_delta_11_var,mfcc_12_mean,mfcc_12_var,mfcc_delta_12_mean,mfcc_delta_12_var,mfcc_13_mean,mfcc_13_var,mfcc_delta_13_mean,mfcc_delta_13_var,label,filename,chunk_id
0.16466825,0.0045511867,-0.5001046,-0.6929252,1508.716498040115,109883.95377728285,0.4939840310201003,-0.6467992747535227,1446.2545290933017,114155.56404418909,2755.701700846354,692584.0052951955,0.08076533564814815,0.00020882834786413787,161.4990234375,12,0.27101588249206543,0.40968725085258484,0.0013318188,4.313143e-06,2.3252885,5.2531176,2.10004,10.77084,2.1785698,3.993566,0.062181498801397485,0.02554043666755468,0.5237849,0.13508505,0.123162284,0.012639333,0.1114297,0.017754583,0.2218681,0.06965526,0.17698114,0.040058646,0.25136027,0.11972512,0.26673827,0.066965476,0.4929377,0.14829512,0.1557472,0.039708994,0.09408292,0.014319162,0.33088604,0.14447965,0.37028244,0.08889671,-155.22874,4437.359,0.013377119,170.29483,136.99503,723.65466,-0.23944257,22.31977,-52.114655,263.9735,0.13198505,7.2636065,22.862585,465.63184,0.12021932,18.574755,-23.124855,160.11633,-0.09797439,4.9825764,5.806341,139.72296,0.032541577,3.7806866,-15.93752,125.610405,-0.05253223,6.4345284,14.604175,72.109085,-0.008398873,3.0077178,-5.4060173,61.371735,-0.05407532,2.694602,0.6406047,52.36321,0.026180338,1.3306874,-6.421188,64.48223,-0.01967814,1.8988111,2.131678,34.494564,0.057017654,1.03067,-4.106362,56.925236,-0.00035660356,1.8585287,0,blues_blues.00010.wav,0
0.08764221,0.004826175,0.9943521,0.07812095,1309.212682973741,189809.63005517944,0.18332915765926314,-0.9538360123976708,1530.1339608133956,159256.18247465204,2603.174845377604,1411116.7950172808,0.053394458912037035,0.00027885399401106136,161.4990234375,12,0.2749609351158142,0.7926623821258545,0.0019786002,7.6534125e-06,1.7688432,2.5611105,2.0751054,20.397408,3.0545044,9.160726,0.008099706712718048,0.016473572349981376,0.2651741,0.028191164,0.17300722,0.041483324,0.23600592,0.0656804,0.2914063,0.07041443,0.5286192,0.17798148,0.3364559,0.07084367,0.33261222,0.07417474,0.23400939,0.05708363,0.26670817,0.07087929,0.3664571,0.087790206,0.34822285,0.051461488,0.7042457,0.09744784,-243.9362,13941.804,-1.4113959,488.83188,144.01399,995.4524,0.10014266,15.626851,-12.794236,1136.9456,0.66502994,26.077528,36.639835,531.93787,0.18206835,18.98003,-10.265827,195.654,0.2547233,5.015069,7.8991065,150.15877,0.032591943,6.792895,-7.674294,193.67178,0.2038851,5.4601693,3.0336318,55.101276,-0.048134655,2.118431,-4.585098,51.898834,0.06434115,2.0785105,1.7641795,32.627525,0.02626378,1.0123422,0.56795645,39.96862,-0.0069313534,1.6589472,4.110785,23.50476,0.0024878273,0.53119224,-2.8050182,63.07834,-0.010529549,1.7860991,0,blues_blues.00010.wav,1
0.12510866,0.0044644256,0.16114405,-1.2031509,1171.9943797070373,157551.80766565126,0.4413635952577748,-0.25358212352631826,1431.397502058724,104908.11996219688,2266.070556640625,1093412.5676378608,0.046196831597222224,0.00034033074791048784,78.30255681818181,6,0.23677359521389008,0.5340666174888611,0.0011783934,3.7853547e-06,2.9051912,9.347644,2.0563116,16.378761,3.0059803,9.633825,0.03422291176654373,0.024067866047111336,0.56024563,0.128198,0.23608208,0.04600038,0.21781857,0.028389547,0.47023913,0.12352041,0.51071244,0.049582418,0.6316155,0.13910863,0.30311254,0.04595265,0.28252146,0.042490024,0.23879701,0.045997757,0.30069253,0.074118555,0.27781948,0.07515245,0.26105505,0.021222351,-187.29132,10484.007,0.2106498,385.88412,162.19835,532.404,0.26393002,14.667695,-17.612118,1103.9065,-0.2051975,30.093044,40.49138,343.0927,-0.1265766,10.024769,-13.50263,208.87099,-0.10517839,6.243892,10.10824,141.30388,-0.14430875,4.948287,-16.287075,150.25995,-0.052362952,5.6546497,7.692033,69.90177,0.0029893275,2.2004182,-8.044397,56.303196,-0.036500007,2.1895618,2.7754807,42.592537,-0.047583297,1.3986446,-4.769458,40.909275,-0.024260608,1.1997277,3.3011305,20.654495,-0.05364606,0.6371128,-6.0402107,63.410854,0.02506626,2.233077,0,blues_blues.00010.wav,2
0.19939859,0.006668545,0.5982553,2.3513212,1344.379158078168,180050.0935477851,1.9517916930536605,4.821604310563693,1398.366913972491,91520.28826784728,2471.9818115234375,993187.1661450714,0.06412534360532407,0.00031483136066356966,123.046875,10,0.4558211863040924,0.40953728556632996,0.0008301299,1.4558485e-06,3.6357217,20.510283,1.6692313,6.019876,2.0832837,4.1262217,-0.00039982197318029266,0.04514904817614009,0.08648563,0.017554246,0.10390292,0.03037913,0.26582268,0.028656641,0.832988,0.08171679,0.39738938,0.043281455,0.33017594,0.12919073,0.13395143,0.03557051,0.119343184,0.021604214,0.09824448,0.02115318,0.16925299,0.025321564,0.49908397,0.07877646,0.15797098,0.01763866,-121.59805,5074.978,0.14665692,141.2613,153.45338,751.1104,-0.3293862,11.798187,-35.463303,401.3957,0.17578319,6.9890666,21.207497,214.23596,0.0155421235,8.760088,-24.61488,199.01537,0.009800677,6.30552,0.033147316,101.77365,0.05019638,2.7633078,-22.031626,125.59088,0.052292727,3.244408,8.870068,46.60396,0.0019477297,1.774778,-6.7762856,70.676285,-0.055837862,2.4180996,0.9910633,38.342426,0.09950595,1.1959212,-2.6688924,54.195507,0.049665194,2.5519247,-0.5578258,43.459335,0.11328933,1.0487908,-8.683131,150.08455,0.1814841,2.3074198,0,blues_blues.00010.wav,3
0.13872196,0.024240805,1.5029756,0.70239997,1840.11775980321,228444.79591777973,-0.06883095397738351,-0.589589493022292,1965.3896521614017,65570.82800013846,4196.083577473958,1153594.5346910092,0.06403040002893519,0.0006334065358743418,161.4990234375,9,0.5034081339836121,1.1223499774932861,0.0018577181,6.4011106e-06,4.4994545,26.118853,1.7345359,3.9753299,2.358079,6.4184074,0.000341241335527702,0.04086224246843732,0.2936774,0.10322777,0.19101112,0.053032525,0.22497489,0.05636631,0.36041075,0.10031665,0.4672827,0.13305224,0.50748324,0.18885946,0.27068803,0.067338616,0.24584343,0.07704047,0.2572199,0.09276553,0.17323004,0.045428306,0.17691033,0.058957502,0.2796231,0.09517059,-188.2781,5640.9824,-0.5517726,140.52031,103.71827,1288.844,0.497344,24.669203,-8.835731,389.04767,0.05698703,10.903479,43.226322,267.02365,-0.060959287,8.38442,-24.071293,468.8808,0.07240311,8.452794,16.833012,100.95575,-0.007300836,2.2188349,-13.338718,132.73604,-0.030863047,4.423169,5.8777566,101.02709,-0.11047055,2.215199,-2.0480776,329.20578,0.17781208,4.2798066,-5.632134,179.15184,-0.15328203,3.5758226,-3.8413086,88.67938,-0.0701658,2.5456884,5.138363,174.6734,-0.049099162,3.2261598,1.628752,179.65749,-0.15794753,2.4791892,0,blues_blues.00010.wav,4
0.13914277,0.0025349797,-0.116723545,-0.8157203,1306.035596657157,87335.26982405347,0.3406601926319446,-0.2355707538877918,1325.619679764255,82916.33234416491,2348.614501953125,640814.7963508964,0.06718840422453703,0.00016227669104300083,161.4990234375,11,0.20919328927993774,0.361848384141922,0.00079403154,2.5243778e-06,6.9746943,66.02817,1.8092397,7.073658,2.5282025,6.487322,0.06523441667998109,0.026554786749163742,0.6061489,0.11085334,0.17886133,0.035724763,0.15617374,0.032901723,0.16135533,0.032178815,0.2530451,0.07329563,0.46016788,0.17561443,0.3370252,0.07137987,0.4785188,0.10654926,0.15420456,0.024023816,0.13126841,0.027365161,0.29414782,0.08234416,0.3903798,0.078976296,-170.71048,3850.2974,-0.98925483,179.93309,158.10674,497.08542,0.031683687,18.013994,-47.924297,694.90405,0.23000477,13.832345,24.630299,496.86212,-0.097838916,17.36397,-28.733744,111.11188,0.06802815,4.563836,4.410912,100.846176,-0.10372619,4.526793,-17.60129,64.635445,0.043661024,3.0623822,9.389262,105.03505,-0.016391383,3.5538182,-3.2085972,71.47893,0.048278324,2.345583,2.8145525,32.463017,0.040293936,1.0798198,-3.298373,48.45091,0.042925816,2.0125468,3.558408,35.725384,0.01723884,1.0565631,-2.9993327,39.313053,0.018218216,1.5000412,0,blues_blues.00010.wav,5
0.09765344,0.0020976784,0.46691462,-0.7122462,753.1191471453079,94912.94594668366,1.6417236822869443,2.28754446675827,1387.8687174077456,59601.803715005466,1193.7469482421875,737357.5556930155,0.02259431061921296,0.00029935095515434303,95.703125,7,0.1871229112148285,0.46900975704193115,0.00023933082,1.2309988e-07,4.498609,27.99734,1.420736,3.6755526,2.0735703,3.3526921,-0.06886940835845362,0.015163477363885828,0.3784761,0.11994576,0.27330226,0.038103294,0.33234355,0.10166034,0.38457552,0.047652394,0.6336715,0.094977394,0.74601024,0.10580986,0.6539708,0.10588605,0.44736552,0.06769208,0.21650884,0.025135871,0.17472976,0.04053413,0.16236877,0.04660167,0.20244461,0.026653126,-287.9868,5077.6646,0.7270122,197.4534,154.79381,622.21906,-0.16860998,32.75491,21.607944,1049.4344,-0.041331466,30.890684,43.33655,169.32835,0.24901438,5.514557,15.240808,135.99081,-0.057602987,2.4617789,26.842278,113.75153,0.07441558,5.079792,5.4765363,41.3376,-0.11345343,1.2851037,8.053063,73.7116,-0.0526756,2.8836653,-11.356384,90.19263,0.07052126,3.1991193,18.976913,42.34647,0.07738562,1.1809255,4.2017856,35.163803,-0.021365259,0.94918865,1.4451349,44.97565,0.12585467,1.2430183,-0.9970025,36.79691,0.08730244,0.59687006,0,blues_blues.00022.wav,0
0.12777346,0.004747169,0.7226823,-0.106351376,1343.0849063513247,396465.2680941287,0.7210947912753365,-0.12391863491044441,1526.705669118929,52659.792580677706,2480.854288736979,1348216.3398454173,0.07398591218171297,0.0039008545481046698,95.703125,7,0.31419625878334045,0.5392332673072815,0.0006150997,3.1181256e-07,1.67754,4.620639,1.8202174,4.380826,1.9862491,4.364547,0.013377867222311967,0.013409567661818493,0.33464304,0.11001216,0.17499983,0.037527587,0.14891984,0.047971208,0.16169164,0.060700633,0.19453335,0.07168524,0.2779887,0.11275607,0.30128208,0.082448676,0.3933439,0.1169177,0.39083496,0.07976903,0.39555076,0.11428895,0.37152693,0.12849182,0.32464027,0.08565075,-210.60153,6651.317,0.016218027,223.60866,131.39822,1089.2189,0.24322517,39.732758,-9.517551,1431.1294,-0.24947815,40.660164,52.979458,480.28683,-0.3827264,9.616283,8.8967905,168.26562,-0.0071356785,4.124546,12.61164,204.09744,-0.019448193,4.9387727,3.922093,135.75496,-0.013653199,4.2179117,5.1163554,97.33742,0.043311357,3.1370301,-13.000242,188.86465,-0.05769584,5.2206264,18.483479,85.515526,0.010929108,2.6897156,4.312235,140.17003,0.15788934,4.1661224,-5.548179,56.943558,-0.05774404,1.6868693,3.220402,62.397774,-0.09045535,2.2473388,0,blues_blues.00022.wav,1
0.081425294,0.0017528839,0.79862326,0.009403467,929.7330858639177,107862.62990012228,1.9279846504684732,3.299879868668258,1446.3437876581218,66476.92702972646,1666.3808186848958,548993.5340225283,0.04010461877893518,0.0008460516250591384,95.703125,7,0.19267244637012482,0.514182448387146,0.00035979625,1.3679663e-07,2.4335928,7.6165266,1.2274666,2.0794766,2.3496888,5.8526087,0.005228827197701554,0.015119451457753636,0.6263535,0.14443253,0.3657759,0.062066503,0.25438866,0.09512681,0.18274425,0.048923712,0.27050444,0.076416604,0.47024062,0.13617468,0.24563001,0.038078427,0.20919831,0.04519728,0.20587079,0.063392006,0.19158335,0.041555125,0.20933773,0.067387104,0.29026705,0.03954825,-267.6888,4204.39,0.45719224,105.20941,154.2292,583.73035,-0.29575342,11.575238,5.001303,791.08813,0.15101276,18.88654,48.574368,230.19006,0.36872265,4.3033004,12.710878,71.620285,-0.17782275,2.4535723,19.15364,107.611916,0.015179261,3.3557336,4.086088,46.22292,-0.07376034,1.1708297,4.4618254,101.52511,-0.018811014,2.0153642,-18.584877,152.59535,-0.14185381,3.3384554,17.758192,80.53353,-0.15885943,1.9091896,-0.8372405,79.95832,-0.18945085,1.8739963,-2.2517993,32.29202,0.025653198,1.1981866,-2.6826446,51.950947,0.09697851,1.3298274,0,blues_blues.00022.wav,2
0.12519532,0.0025520076,0.18355049,-1.10608,1457.7571441589012,235313.54166294396,0.8381656069399638,0.8875766089639905,1568.5777922990787,35287.66772851683,2980.803426106771,655999.5900332513,0.08771882233796297,0.0030127203677089783,99.38401442307692,5,0.19426679611206055,0.40350866317749023,0.00059747405,7.139385e-07,6.416673,53.191578,1.490527,1.5467181,1.5312414,2.280498,-0.029892330358795897,0.017753098071596116,0.13029493,0.014077723,0.3463745,0.12017871,0.15890066,0.032432053,0.12978643,0.036252078,0.2767721,0.12641938,0.32590887,0.06707641,0.6396047,0.179414,0.25244308,0.06915051,0.16295837,0.047841612,0.22983481,0.08508705,0.25765508,0.07161906,0.164703,0.037175782,-196.277,3884.3623,-0.4548949,90.24468,134.26048,786.36383,0.30225217,21.58785,-19.694519,524.32336,0.10644302,11.457153,57.83766,336.8678,-0.31262568,4.7498074,-16.312038,218.06786,0.22074816,3.3330524,12.066126,168.55617,0.07076077,3.8016999,-5.219356,160.96924,0.058962822,4.0860434,-1.8624816,158.43552,0.048336443,2.7068782,-21.389969,126.62178,0.24741714,2.647903,23.296835,69.92129,0.15050176,2.2317739,5.726089,119.99521,0.13519256,1.9984032,5.8278494,101.86158,-0.107284784,1.4448442,4.2575,71.06737,-0.07717261,1.8155978,0,blues_blues.00022.wav,3
